STT,Mã hàng,Tên hàng,Loại hàng,Đơn vị tính,Giá nhập,Giá bán,Tồn kho,Tồn tối thiểu,Nhà cung cấp,Ngày nhập,Trạng thái
1,SP001,Điện thoại iPhone 15,Điện tử,Cái,18000000,22000000,25,5,Apple Vietnam,01/01/2024,Còn hàng
2,SP002,Laptop Dell XPS 13,Điện tử,Cái,25000000,32000000,15,3,Dell Vietnam,02/01/2024,Còn hàng
3,SP003,Máy tính bảng Samsung Tab S9,Điện tử,Cái,12000000,15000000,30,5,Samsung VN,03/01/2024,Còn hàng
4,SP004,Tai nghe Sony WH-1000XM4,Điện tử,Cái,3500000,5200000,45,10,Sony Vietnam,04/01/2024,Còn hàng
5,SP005,Smartwatch Apple Watch S9,Điện tử,Cái,8000000,11900000,20,4,Apple Vietnam,05/01/2024,Còn hàng
6,SP006,Chuột không dây Logitech MX,Điện tử,Cái,450000,690000,60,15,Logitech VN,06/01/2024,Còn hàng
7,SP007,Bàn phím cơ Akko,Điện tử,Cái,850000,1250000,35,8,Akko Vietnam,07/01/2024,Còn hàng
8,SP008,Màn hình LG 27inch,Điện tử,Cái,4200000,5800000,18,3,LG Electronics,08/01/2024,Còn hàng
9,SP009,Loa JBL Flip 6,Điện tử,Cái,1800000,2500000,28,6,JBL Vietnam,09/01/2024,Còn hàng
10,SP010,Ổ cứng SSD Samsung 1TB,Điện tử,Cái,1500000,2200000,50,12,Samsung VN,10/01/2024,Còn hàng
11,SP011,Máy ảnh Canon EOS R6,Điện tử,Cái,28000000,35000000,8,2,Canon Vietnam,11/01/2024,Còn hàng
12,SP012,Ống kính Canon 50mm,Điện tử,Cái,4500000,6200000,12,3,Canon Vietnam,12/01/2024,Còn hàng
13,SP013,Tivi Samsung 55 inch,Điện tử,Cái,12500000,16800000,22,4,Samsung VN,13/01/2024,Còn hàng
14,SP014,Tủ lạnh Panasonic Inverter,Điện tử,Cái,8500000,11500000,16,3,Panasonic VN,14/01/2024,Còn hàng
15,SP015,Máy giặt LG 10kg,Điện tử,Cái,7200000,9500000,14,3,LG Electronics,15/01/2024,Còn hàng
16,SP016,Máy lọc không khí Xiaomi,Điện tử,Cái,1800000,2600000,35,8,Xiaomi Vietnam,16/01/2024,Còn hàng
17,SP017,Robot hút bụi Ecovacs,Điện tử,Cái,3200000,4500000,18,4,Ecovacs VN,17/01/2024,Còn hàng
18,SP018,Bếp từ Taka,Điện tử,Cái,1500000,2200000,25,5,Taka Vietnam,18/01/2024,Còn hàng
19,SP019,Lò vi sóng Sharp,Điện tử,Cái,1200000,1850000,30,6,Sharp Vietnam,19/01/2024,Còn hàng
20,SP020,Máy xay sinh tố Sunhouse,Điện tử,Cái,450000,750000,40,10,Sunhouse,20/01/2024,Còn hàng
21,SP021,Bàn làm việc văn phòng,Nội thất,Cái,1200000,1800000,22,5,Công ty ABC,21/01/2024,Còn hàng
22,SP022,Ghế xoay văn phòng,Nội thất,Cái,850000,1350000,30,8,Công ty XYZ,22/01/2024,Còn hàng
23,SP023,Tủ tài liệu 3 ngăn,Nội thất,Cái,950000,1450000,15,3,Công ty DEF,23/01/2024,Còn hàng
24,SP024,Sofa da cao cấp,Nội thất,Bộ,8500000,12500000,8,2,Công ty GHI,24/01/2024,Còn hàng
25,SP025,Bàn ăn gỗ sồi,Nội thất,Bộ,3200000,4800000,12,3,Công ty JKL,25/01/2024,Còn hàng
26,SP026,Ghế ăn gỗ,Nội thất,Cái,350000,550000,45,10,Công ty MNO,26/01/2024,Còn hàng
27,SP027,Giường ngủ gỗ,Nội thất,Cái,4500000,6800000,10,2,Công ty PQR,27/01/2024,Còn hàng
28,SP028,Tủ quần áo 4 cánh,Nội thất,Cái,2800000,4200000,14,3,Công ty STU,28/01/2024,Còn hàng
29,SP029,Kệ sách 5 tầng,Nội thất,Cái,650000,980000,25,6,Công ty VWX,29/01/2024,Còn hàng
30,SP030,Bàn trang điểm,Nội thất,Cái,750000,1150000,18,4,Công ty YZ,30/01/2024,Còn hàng
31,SP031,Tủ đầu giường,Nội thất,Cái,420000,650000,32,8,Công ty ABC,31/01/2024,Còn hàng
32,SP032,Kệ TV gỗ công nghiệp,Nội thất,Cái,580000,890000,20,5,Công ty XYZ,01/02/2024,Còn hàng
33,SP033,Bàn cafe phòng khách,Nội thất,Cái,320000,520000,28,7,Công ty DEF,02/02/2024,Còn hàng
